City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,kahului,20.8947,-156.47,80.62,70,40,1.99,US,1670296672
221,the valley,18.217,-63.0578,79.11,69,11,16.26,AI,1670296672
222,aripuana,-9.1667,-60.6333,71.26,99,94,2.26,BR,1670296673
223,pevek,69.7008,170.3133,-7.55,78,100,5.06,RU,1670296674
224,haines junction,60.7522,-137.5108,-9.45,84,70,0.0,CA,1670296674
225,ambah,26.7075,78.2261,59.41,46,0,4.88,IN,1670296674
226,ust-kuyga,70.0167,135.6,-38.65,100,98,1.21,RU,1670296675
227,mayumba,-3.432,10.6554,71.76,95,100,7.63,GA,1670296675
228,snyder,32.7179,-100.9176,65.32,59,0,6.91,US,1670296676
229,san patricio,28.017,-97.5169,71.83,86,53,12.41,US,1670296676
230,port macquarie,-31.4333,152.9167,76.89,65,31,18.57,AU,1670296542
231,guerrero negro,27.9769,-114.0611,62.6,90,17,16.53,MX,1670296677
232,taksimo,56.3444,114.8794,7.77,93,100,3.8,RU,1670296678
233,safford,32.834,-109.7076,58.12,62,0,6.91,US,1670296678
234,omsukchan,62.5333,155.8,-13.41,97,100,3.56,RU,1670296679
235,manhattan,40.7834,-73.9662,45.61,74,0,5.99,US,1670296679
236,zitsa,39.6943,20.6372,48.16,100,15,0.0,GR,1670296680
237,thinadhoo,0.5333,72.9333,81.32,74,77,9.06,MV,1670296680
238,chaman,30.9236,66.4512,46.71,44,7,1.21,PK,1670296681
239,kangasala,61.4638,24.076,27.14,100,60,8.1,FI,1670296681
240,cockburn town,21.4612,-71.1419,78.4,61,2,18.45,TC,1670296682
241,pemba,-12.974,40.5178,79.5,83,40,9.22,MZ,1670296684
242,puerto ayora,-0.7393,-90.3518,69.55,94,24,5.99,EC,1670296597
243,isla mujeres,21.2311,-86.731,77.16,66,2,13.82,MX,1670296686
244,qaqortoq,60.7167,-46.0333,32.0,73,100,11.1,GL,1670296655
245,saint-philippe,-21.3585,55.7679,78.39,84,97,10.92,RE,1670296693
246,puteyets,65.1716,57.091,3.06,92,83,10.96,RU,1670296696
247,doka,13.5167,35.7667,72.09,42,20,6.71,SD,1670296698
248,ilulissat,69.2167,-51.1,37.42,48,41,25.32,GL,1670296699
249,saint anthony,45.0205,-93.218,22.66,61,0,12.66,US,1670296701
250,sharlyk,52.9167,54.75,-8.01,98,18,3.22,RU,1670296702
251,marshall,34.3834,-86.3333,58.93,95,100,4.61,US,1670296440
252,codrington,-38.2667,141.9667,62.28,59,44,10.11,AU,1670296703
253,deputatskiy,69.3,139.9,-30.3,97,99,1.61,RU,1670296705
254,perth,-31.9333,115.8333,76.17,51,75,12.66,AU,1670296691
255,zolotukhino,52.0842,36.3772,10.47,64,23,7.61,RU,1670296708
256,rio grande,-32.035,-52.0986,67.1,90,0,8.48,BR,1670296709
257,erzin,36.9559,36.2,54.52,62,51,4.79,TR,1670296711
258,chokurdakh,70.6333,147.9167,-41.3,100,42,2.8,RU,1670296712
259,seoul,37.5683,126.9778,35.04,79,79,3.76,KR,1670296523
260,kijang,35.2442,129.2139,46.13,43,0,10.92,KR,1670296713
261,dingle,10.9995,122.6711,83.48,72,34,13.56,PH,1670296714
262,urubicha,-15.3833,-62.95,74.05,89,100,4.63,BO,1670296714
263,tilichiki,60.4667,166.1,5.11,89,77,9.6,RU,1670296715
264,buguruslan,53.6554,52.442,-1.21,99,39,1.72,RU,1670296716
265,tahe,52.3333,124.7333,6.04,77,62,2.55,CN,1670296716
266,atar,20.5169,-13.0499,71.73,24,38,3.78,MR,1670296668
267,ballina,-28.8667,153.5667,96.01,38,0,6.33,AU,1670296717
268,santa isabel do rio negro,-0.4139,-65.0192,76.1,90,100,2.3,BR,1670296717
269,linares,-35.85,-71.6,56.8,54,0,5.59,CL,1670296718
270,goba,7.0167,39.9833,44.92,70,50,4.32,ET,1670296718
271,kushima,31.4583,131.2333,54.23,58,0,9.78,JP,1670296669
272,banda aceh,5.5577,95.3222,78.58,79,99,4.81,ID,1670296719
273,kleinmachnow,52.4,13.2333,37.44,95,100,9.22,DE,1670296720
274,gornji milanovac,44.0333,20.45,26.69,95,5,4.59,RS,1670296720
275,la orilla,17.9833,-102.2333,76.23,86,0,1.95,MX,1670296721
276,muravlenko,63.7898,74.523,2.3,97,87,10.76,RU,1670296721
277,emba,48.8264,58.1442,9.36,94,87,6.62,KZ,1670296722
278,tynda,55.1667,124.7167,-0.96,88,100,3.13,RU,1670296722
279,boddam,57.4667,-1.7833,42.49,67,100,21.32,GB,1670296657
280,amapa,1.0,-52.0,70.86,98,97,0.54,BR,1670296723
281,ancud,-41.8697,-73.8203,53.53,96,61,3.09,CL,1670296723
282,sao filipe,14.8961,-24.4956,72.45,67,26,3.56,CV,1670296724
283,zhovkva,50.0583,23.9726,31.69,94,98,9.33,UA,1670296724
284,noyabrsk,63.1994,75.4507,2.21,99,97,8.61,RU,1670296511
285,grand-santi,4.25,-54.3833,70.48,87,99,1.36,GF,1670296725
286,torit,4.4133,32.5678,73.31,61,86,3.53,SS,1670296725
287,bilibino,68.0546,166.4372,-0.09,72,100,6.46,RU,1670296662
288,korla,41.7597,86.1469,25.72,39,100,1.68,CN,1670296726
289,zhoucheng,35.9122,116.3117,43.03,34,53,5.79,CN,1670296727
290,cayenne,4.9333,-52.3333,75.24,100,100,1.14,GF,1670296727
291,raychikhinsk,49.7838,129.4121,4.59,88,100,8.1,RU,1670296728
292,port-cartier,50.0334,-66.8654,35.82,85,100,9.13,CA,1670296728
293,makat,47.6469,53.3463,15.8,79,16,8.14,KZ,1670296729
294,chakrata,30.7,77.85,42.15,31,28,5.79,IN,1670296729
